Model,Actual,Pred,Count
Persistence,Low,Low,37466
Persistence,Low,Moderate,9534
Persistence,Low,High,3322
Persistence,Moderate,Low,1684
Persistence,Moderate,Moderate,12480
Persistence,Moderate,High,3084
Persistence,High,Low,2608
Persistence,High,Moderate,2516
Persistence,High,High,17476
Random Forest,Low,Low,48354
Random Forest,Low,Moderate,1796
Random Forest,Low,High,172
Random Forest,Moderate,Low,720
Random Forest,Moderate,Moderate,15906
Random Forest,Moderate,High,622
Random Forest,High,Low,142
Random Forest,High,Moderate,1110
Random Forest,High,High,21348
XGBoost,Low,Low,48366
XGBoost,Low,Moderate,1840
XGBoost,Low,High,116
XGBoost,Moderate,Low,676
XGBoost,Moderate,Moderate,16098
XGBoost,Moderate,High,474
XGBoost,High,Low,144
XGBoost,High,Moderate,1140
XGBoost,High,High,21316
