state,n_districts,total_obs,Persistence__RMSE_mean,Persistence__RMSE_std,Persistence__RMSE_median,Persistence__RMSE_valid_count,Persistence__MAE_mean,Persistence__MAE_std,Persistence__MAE_median,Persistence__MAE_valid_count,Persistence__MAPE_mean,Persistence__MAPE_std,Persistence__MAPE_median,Persistence__MAPE_valid_count,Persistence__R2_mean,Persistence__R2_std,Persistence__R2_median,Persistence__R2_valid_count,Persistence__mNSE_mean,Persistence__mNSE_std,Persistence__mNSE_median,Persistence__mNSE_valid_count,Persistence__KGE_mean,Persistence__KGE_std,Persistence__KGE_median,Persistence__KGE_valid_count,Persistence__KGE_valid_pct,Persistence__PBIAS_mean,Persistence__PBIAS_std,Persistence__PBIAS_median,Persistence__PBIAS_valid_count,Persistence__Pearson r_mean,Persistence__Pearson r_std,Persistence__Pearson r_median,Persistence__Pearson r_valid_count,Persistence__Alpha_mean,Persistence__Alpha_std,Persistence__Alpha_median,Persistence__Alpha_valid_count,Persistence__Beta_mean,Persistence__Beta_std,Persistence__Beta_median,Persistence__Beta_valid_count,Persistence__NRMSE_mean,Persistence__NRMSE_std,Persistence__NRMSE_median,Persistence__NRMSE_valid_count,Random Forest__RMSE_mean,Random Forest__RMSE_std,Random Forest__RMSE_median,Random Forest__RMSE_valid_count,Random Forest__MAE_mean,Random Forest__MAE_std,Random Forest__MAE_median,Random Forest__MAE_valid_count,Random Forest__MAPE_mean,Random Forest__MAPE_std,Random Forest__MAPE_median,Random Forest__MAPE_valid_count,Random Forest__R2_mean,Random Forest__R2_std,Random Forest__R2_median,Random Forest__R2_valid_count,Random Forest__mNSE_mean,Random Forest__mNSE_std,Random Forest__mNSE_median,Random Forest__mNSE_valid_count,Random Forest__KGE_mean,Random Forest__KGE_std,Random Forest__KGE_median,Random Forest__KGE_valid_count,Random Forest__KGE_valid_pct,Random Forest__PBIAS_mean,Random Forest__PBIAS_std,Random Forest__PBIAS_median,Random Forest__PBIAS_valid_count,Random Forest__Pearson r_mean,Random Forest__Pearson r_std,Random Forest__Pearson r_median,Random Forest__Pearson r_valid_count,Random Forest__Alpha_mean,Random Forest__Alpha_std,Random Forest__Alpha_median,Random Forest__Alpha_valid_count,Random Forest__Beta_mean,Random Forest__Beta_std,Random Forest__Beta_median,Random Forest__Beta_valid_count,Random Forest__NRMSE_mean,Random Forest__NRMSE_std,Random Forest__NRMSE_median,Random Forest__NRMSE_valid_count,XGBoost__RMSE_mean,XGBoost__RMSE_std,XGBoost__RMSE_median,XGBoost__RMSE_valid_count,XGBoost__MAE_mean,XGBoost__MAE_std,XGBoost__MAE_median,XGBoost__MAE_valid_count,XGBoost__MAPE_mean,XGBoost__MAPE_std,XGBoost__MAPE_median,XGBoost__MAPE_valid_count,XGBoost__R2_mean,XGBoost__R2_std,XGBoost__R2_median,XGBoost__R2_valid_count,XGBoost__mNSE_mean,XGBoost__mNSE_std,XGBoost__mNSE_median,XGBoost__mNSE_valid_count,XGBoost__KGE_mean,XGBoost__KGE_std,XGBoost__KGE_median,XGBoost__KGE_valid_count,XGBoost__KGE_valid_pct,XGBoost__PBIAS_mean,XGBoost__PBIAS_std,XGBoost__PBIAS_median,XGBoost__PBIAS_valid_count,XGBoost__Pearson r_mean,XGBoost__Pearson r_std,XGBoost__Pearson r_median,XGBoost__Pearson r_valid_count,XGBoost__Alpha_mean,XGBoost__Alpha_std,XGBoost__Alpha_median,XGBoost__Alpha_valid_count,XGBoost__Beta_mean,XGBoost__Beta_std,XGBoost__Beta_median,XGBoost__Beta_valid_count,XGBoost__NRMSE_mean,XGBoost__NRMSE_std,XGBoost__NRMSE_median,XGBoost__NRMSE_valid_count
Andhra Pradesh,52,25272,4.055762,5.126138,1.880621,52,3.399513,4.780496,1.366765,52,109.882094,258.635471,19.709904,52,-1.662196,1.00163,-1.841932,44,-0.529537,0.3984,-0.538007,44,,,,0,0.0,7018265351.656301,46979595298.53493,6462999999.999996,52,,,,0,,,,0,,,,0,0.512713,0.195069,0.484696,52,2.166824,2.904551,0.714371,52,1.723753,2.51542,0.51595,52,79.867372,229.598659,7.032674,52,0.234524,0.717076,0.530771,42,0.241205,0.528717,0.360203,42,0.483835,0.369786,0.525579,48,92.31,-4509341815.841699,28447874864.877422,-26.377139,52,0.725646,0.363026,0.921906,52,0.684653,0.412156,0.696675,52,2.661648,7.594016,0.967075,52,0.295916,0.232788,0.207125,52,2.054142,2.943489,0.529816,52,1.608293,2.476186,0.316642,52,74.71954,213.310181,5.864375,52,0.553147,0.63483,0.763685,40,0.522971,0.375138,0.577014,40,0.541576,0.455159,0.718781,48,92.31,-7022600970.323794,26732379982.438618,3.181144,52,0.706875,0.391246,0.929153,52,0.813988,0.432929,0.90392,52,2.581928,6.963079,0.997742,52,0.247136,0.230991,0.139272,52
Arunachal Pradesh,2,972,0.571495,0.0,0.571495,2,0.492857,0.0,0.492857,2,24.861711,0.0,24.861711,2,-1.016062,0.0,-1.016062,2,-0.363526,0.0,-0.363526,2,,,,0,0.0,-3976000000.0,0.0,-3976000000.0,2,,,,0,,,,0,,,,0,0.468438,0.0,0.468438,2,0.228319,0.0,0.228319,2,0.142895,0.0,0.142895,2,5.444665,0.0,5.444665,2,0.678216,0.0,0.678216,2,0.60467,0.0,0.60467,2,0.61374,0.0,0.61374,2,100.0,990519178.395686,0.0,990519178.395686,2,0.903924,0.0,0.903924,2,0.6286,0.0,0.6286,2,0.954964,0.0,0.954964,2,0.187147,0.0,0.187147,2,0.163858,0.0,0.163858,2,0.112592,0.0,0.112592,2,4.405009,0.0,4.405009,2,0.834265,0.0,0.834265,2,0.688507,0.0,0.688507,2,0.751968,0.0,0.751968,2,100.0,447415405.750275,0.0,447415405.750275,2,0.937105,0.0,0.937105,2,0.760939,0.0,0.760939,2,0.979657,0.0,0.979657,2,0.13431,0.0,0.13431,2
Assam,36,17496,0.844614,0.982925,0.56236,36,0.727685,0.835061,0.506735,36,14.881129,10.707244,8.635413,36,-2.120171,1.229547,-2.043113,28,-0.735733,0.439828,-0.796501,28,,,,0,0.0,4189138888.888891,9929249031.418852,3141999999.999999,36,,,,0,,,,0,,,,0,0.550992,0.154389,0.529144,36,0.700343,1.156877,0.31979,36,0.611329,1.008215,0.239911,36,10.505355,11.550512,7.603138,36,0.284021,0.642526,0.619507,22,0.285154,0.413165,0.2996,22,0.177394,0.592051,0.213716,36,100.0,5545377213.257634,10117539156.47473,2349447867.989399,36,0.470994,0.5341,0.670685,36,0.489351,0.419006,0.327389,36,0.904733,0.129192,0.919573,36,0.471653,0.374238,0.300986,36,0.656646,1.123443,0.34589,36,0.570783,0.973462,0.244483,36,9.312097,9.344882,5.137491,36,0.127664,1.03021,0.806503,22,0.258761,0.606724,0.540387,22,0.18404,0.5966,0.054771,36,100.0,5151714368.910259,9763161528.175663,2383931144.142151,36,0.453145,0.514278,0.373027,36,0.495723,0.430259,0.237619,36,0.916046,0.108275,0.922612,36,0.437732,0.334158,0.379732,36
Bihar,18,8748,1.47252,1.230815,1.029072,18,1.244931,0.961733,0.966327,18,22.031823,15.549314,15.02244,18,-2.155066,1.558249,-1.480015,14,-0.637248,0.618786,-0.409615,14,,,,0,0.0,10225633333.333334,11087218093.221882,8849700000.000002,18,,,,0,,,,0,,,,0,0.569902,0.116139,0.617108,18,0.345601,0.233475,0.230272,18,0.270344,0.170293,0.197847,18,4.454339,1.7709,4.743206,18,0.770173,0.206884,0.789641,16,0.596176,0.200151,0.570915,16,0.841454,0.127479,0.903707,18,100.0,1559400517.091857,1990403269.112955,1378124539.682559,18,0.927478,0.05464,0.944485,18,0.915656,0.156765,1.001105,18,0.975702,0.029381,0.977273,18,0.167633,0.108034,0.123307,18,0.248958,0.156054,0.210754,18,0.176165,0.078108,0.176027,18,3.223392,1.947508,2.682194,18,0.794387,0.231552,0.900399,18,0.6299,0.235044,0.697548,18,0.845384,0.104561,0.82373,18,100.0,116868734.53988,844020872.825588,139817230.224609,18,0.928201,0.070208,0.96008,18,0.958427,0.151207,0.951407,18,0.99787,0.012594,0.997457,18,0.114504,0.041526,0.106792,18
Chandigarh,2,938,8.168139,0.0,8.168139,2,3.308968,0.0,3.308968,2,7.728262,0.0,7.728262,2,-0.195749,0.0,-0.195749,2,0.383282,0.0,0.383282,2,,,,0,0.0,-31065700000.0,0.0,-31065700000.0,2,,,,0,,,,0,,,,0,0.37636,0.0,0.37636,2,0.290627,0.0,0.290627,2,0.121609,0.0,0.121609,2,0.217351,0.0,0.217351,2,0.998486,0.0,0.998486,2,0.977335,0.0,0.977335,2,0.992592,0.0,0.992592,2,100.0,-555261792.845084,0.0,-555261792.845084,2,0.999296,0.0,0.999296,2,0.992691,0.0,0.992691,2,1.000984,0.0,1.000984,2,0.013391,0.0,0.013391,2,0.58493,0.0,0.58493,2,0.250281,0.0,0.250281,2,0.485417,0.0,0.485417,2,0.993868,0.0,0.993868,2,0.953353,0.0,0.953353,2,0.975528,0.0,0.975528,2,100.0,498981674.194336,0.0,498981674.194336,2,0.997186,0.0,0.997186,2,0.975707,0.0,0.975707,2,0.999116,0.0,0.999116,2,0.026952,0.0,0.026952,2
Chhattisgarh,46,22356,3.793224,4.040078,2.178758,46,3.252476,3.554951,1.968571,46,27.460067,32.02794,16.883373,46,-1.948261,1.466218,-1.715987,38,-0.632518,0.542861,-0.684624,38,,,,0,0.0,24944704347.826088,30122936173.771503,12697999999.999998,46,,,,0,,,,0,,,,0,0.498118,0.135751,0.496268,46,1.904618,2.667856,0.784077,46,1.525949,2.178363,0.702952,46,12.663669,17.058555,7.017741,46,0.40622,0.600971,0.557868,40,0.332302,0.404392,0.369365,40,0.514927,0.42232,0.707785,46,100.0,7281528682.125938,19165231321.8807,3401818624.946272,46,0.730224,0.391056,0.887805,46,0.678722,0.269758,0.717254,46,0.935418,0.08824,0.942419,46,0.249165,0.196956,0.184219,46,2.058685,3.596079,0.841734,46,1.58041,2.75077,0.617016,46,11.859639,15.262745,6.415436,46,0.562978,0.429547,0.626646,36,0.492566,0.323434,0.514281,36,0.461746,0.602715,0.656837,46,100.0,2865526960.847689,30226763761.23744,2214926553.726198,46,0.767053,0.306174,0.921803,46,0.882172,0.692116,0.770931,46,0.958542,0.101728,0.971703,46,0.271117,0.260931,0.187464,46
Delhi,22,8634,11.539232,17.796381,8.382192,22,9.789067,15.599901,6.114638,22,217.781283,394.934708,89.73107,22,-2.101782,1.573459,-1.829208,20,-0.635746,0.543798,-0.442663,20,-0.585454,0.323158,-0.424339,14,63.64,-61369008818.38072,139440122369.3632,-114.749924,22,,,,0,,,,0,,,,0,0.576744,0.234823,0.603181,22,6.704498,10.734993,3.51066,22,5.691382,9.267926,2.922481,22,123.684233,236.733994,41.859548,22,0.2153,0.348682,0.184465,16,0.158725,0.254112,0.113468,16,0.046256,0.700667,0.308935,18,81.82,-36318180910.106865,81844675689.57005,-83.236062,22,0.734913,0.421656,0.824129,22,0.604259,0.348834,0.503742,22,-0.498657,8.725749,1.011093,22,0.34559,0.16311,0.308256,22,7.575398,12.387498,3.967959,22,6.472209,10.655011,3.256679,22,140.137495,272.9174,55.955914,22,0.070413,0.698875,0.062938,18,0.059002,0.553246,0.180861,18,-0.008383,0.751392,0.128337,18,81.82,-41213915580.42751,94298643780.77225,-100.821574,22,0.814158,0.249965,0.922842,22,0.421234,0.250292,0.437602,22,-0.603941,9.253317,0.978135,22,0.368058,0.207197,0.390279,22
Goa,4,1944,0.819979,0.559575,0.260404,4,0.775969,0.564541,0.211429,4,17.616566,5.646847,11.969719,4,-1.504797,0.0,-1.504797,2,-0.513807,0.0,-0.513807,2,,,,0,0.0,7557500000.000003,5579500000.000003,1978000000.0,4,,,,0,,,,0,,,,0,0.642476,0.241854,0.400621,4,0.268023,0.005971,0.262052,4,0.225737,0.001177,0.224559,4,8.31362,4.413074,3.900546,4,-0.709829,1.063222,-1.773051,4,-0.351558,0.256265,-0.607823,4,0.235009,0.499764,-0.264756,4,100.0,2178558847.282347,24817998.075984,2153740849.206363,4,0.516974,0.411499,0.105476,4,0.431699,0.315975,0.115724,4,0.914122,0.046367,0.867755,4,0.294755,0.126773,0.167982,4,0.315329,0.015927,0.299403,4,0.281272,0.009151,0.27212,4,10.75198,6.063081,4.688899,4,0.155937,0.0,0.155937,2,-0.3135,0.0,-0.3135,2,0.406398,0.27868,0.127718,4,100.0,2740961213.350296,105185607.194901,2635775606.155396,4,0.630542,0.320053,0.310489,4,0.593852,0.098738,0.495114,4,0.888988,0.063748,0.82524,4,0.350775,0.15885,0.191925,4
Gujarat,58,27548,6.335084,10.395624,1.303952,58,4.870205,8.530286,1.055143,58,28.389244,36.31422,14.195598,58,-1.340156,1.117967,-1.083802,50,-0.463848,0.590064,-0.342087,50,,,,0,0.0,15030508218.38246,92916804366.05585,5677800000.00001,58,,,,0,,,,0,,,,0,0.48663,0.179029,0.463828,58,3.052147,5.421091,0.713071,58,2.225661,3.902638,0.525084,58,15.987263,33.462013,3.855827,58,0.407752,0.571492,0.655445,52,0.40089,0.391676,0.575346,52,0.492768,0.477908,0.646394,58,100.0,-2472669472.705148,36735696791.53399,678229919.793049,58,0.78632,0.28306,0.903777,58,0.691546,0.353092,0.782062,58,1.059048,0.369587,0.997007,58,0.237629,0.175254,0.160791,58,2.992381,5.046228,0.748724,58,2.20874,3.665363,0.538054,58,17.214677,34.623533,3.848908,58,0.482314,0.507868,0.682273,48,0.437052,0.379768,0.64161,48,0.376714,0.63209,0.583606,58,100.0,-5266548457.185098,33830864082.223507,96398433.13694,58,0.821445,0.26833,0.895473,58,0.856128,0.741935,0.71951,58,1.066427,0.329485,0.998475,58,0.29957,0.362655,0.187818,58
Haryana,26,8446,3.846073,8.493845,0.855032,26,3.128805,7.754363,0.399035,26,27.402147,50.752161,7.597479,26,-0.825237,1.243839,-0.350481,24,-0.434791,0.850034,-0.055428,24,-0.426262,0.0,-0.426262,2,7.69,498865527.963715,2406534908.132302,950.152977,26,,,,0,,,,0,,,,0,0.363658,0.195333,0.298974,26,1.927656,3.574787,0.2926,26,1.487947,2.961853,0.222252,26,17.329532,28.555686,3.182047,26,0.150496,0.78578,0.201251,26,0.027437,0.770125,0.161809,26,0.436799,0.355287,0.530463,24,92.31,-717429973.849233,678210769.407946,-426396692.448305,26,0.773181,0.212296,0.902034,26,0.514766,0.293226,0.549861,26,1.243829,0.822274,1.012899,26,0.197726,0.129001,0.149112,26,2.022995,3.7874,0.254287,26,1.569898,3.161052,0.186582,26,17.351257,27.943851,3.365014,26,0.224654,0.687364,0.212606,24,0.046872,0.814047,0.345725,24,0.429035,0.397457,0.604545,24,92.31,-695428689.63121,1002138585.215981,-236143993.341923,26,0.740862,0.281637,0.792267,26,0.561701,0.339375,0.58411,26,1.264492,0.887787,1.015564,26,0.231381,0.198752,0.14992,26
Himachal Pradesh,10,4396,2.248818,2.653346,1.173257,10,1.850329,2.325706,0.710684,10,18.273175,9.509982,20.241817,10,-1.263474,1.117783,-1.377136,10,-0.382768,0.361483,-0.426636,10,-0.428841,0.014749,-0.424946,10,100.0,-12.483019,16.193398,-9.589787,10,,,,0,,,,0,,,,0,0.433743,0.195413,0.305382,10,0.563451,0.434181,0.326356,10,0.402175,0.298107,0.274215,10,8.265821,8.02479,4.418878,10,0.260151,0.824806,0.688855,10,0.315988,0.456842,0.558653,10,0.681117,0.196112,0.677024,10,100.0,5.605439,9.348201,2.169226,10,0.890237,0.075802,0.892117,10,1.201536,0.264301,1.228519,10,1.056054,0.093482,1.021692,10,0.188506,0.105448,0.132557,10,0.56968,0.450583,0.304723,10,0.378572,0.280674,0.264141,10,8.222463,8.170579,4.434819,10,0.272855,0.758991,0.646109,10,0.313303,0.470969,0.507411,10,0.695442,0.212664,0.585794,10,100.0,4.099923,10.503611,-1.439351,10,0.866437,0.125256,0.913234,10,1.026466,0.301728,1.018257,10,1.040999,0.105036,0.985606,10,0.186679,0.101047,0.12377,10
Jammu & Kashmir,16,7278,3.306783,3.552873,1.611879,16,2.156195,2.432877,1.44552,16,140.490233,326.29863,9.000306,16,-1.35094,1.370231,-1.061748,16,-0.35889,0.534457,-0.309353,16,-0.544427,0.255919,-0.416668,12,75.0,1007152156.631815,2239962910.268171,-5.435325,16,,,,0,,,,0,,,,0,0.412954,0.14844,0.344821,16,1.541882,1.913256,1.029029,16,0.801143,0.602348,0.856373,16,9.198653,11.572245,4.81949,16,0.257784,0.70178,0.226776,16,0.30423,0.441408,0.455169,16,0.258605,0.777889,0.6021,16,100.0,-7968618.204559,739956240.399765,-3.846165,16,0.527714,0.647309,0.843524,16,0.690263,0.453984,0.934684,16,0.828279,0.425662,0.979234,16,0.204038,0.111776,0.19937,16,2.541928,2.579533,1.839913,16,1.543274,1.504205,1.30661,16,12.797569,12.228991,8.349211,16,0.535585,0.373703,0.557245,12,0.49506,0.214417,0.45281,12,0.16016,0.695639,0.592508,16,100.0,248527955.080673,569087470.597668,-4.645374,16,0.630955,0.489316,0.934517,16,0.824353,0.7492,0.598154,16,0.769596,0.410344,0.953546,16,0.425199,0.465114,0.155012,16
